file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateHourInDayFunction,3508,20,0,0,0,2,5,0,0,0,0,1,0,2,0,1,20,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateMinuteInHourFunction,3517,20,0,0,0,2,5,0,0,0,0,1,0,2,0,1,20,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSecondInMinuteFunction,3526,20,0,0,0,2,5,0,0,0,0,1,0,2,0,1,20,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSecondsFunction,3536,2,0,0,0,2,5,0,0,0,0,1,0,2,0,1,2,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAddFunction,3569,1,0,0,0,2,3,0,0,0,0,1,0,2,2,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAddDurationFunction,3606,1,0,0,0,2,3,0,0,0,0,1,0,2,2,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDifferenceFunction,3643,1,0,0,0,2,3,0,0,0,0,1,0,2,2,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDurationFunction,3680,3,0,0,0,2,4,0,0,0,0,1,0,2,1,1,3,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateRegister,3715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateXpathCtxtRegister,3802,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/libexslt/dynamic.c,exsltDynEvaluateFunction,54,1,0,0,0,2,3,0,0,0,0,1,0,1,1,1,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/dynamic.c,exsltDynMapFunction,97,1,0,0,0,2,5,0,0,0,0,1,0,2,0,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/dynamic.c,exsltDynRegister,279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/exslt.c,exsltRegisterAll,26,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncRegisterFunc,74,1,0,0,0,5,4,0,0,0,0,1,0,0,1,0,1,11
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncRegisterImportFunc,99,2,0,0,0,5,12,0,0,0,0,1,0,0,2,0,2,20
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncInit,144,2,1,0,1,2,5,0,0,0,0,1,0,0,0,0,4,8
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncShutdown,187,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncStyleInit,206,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncStyleShutdown,221,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncNewFunctionData,235,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,6
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFreeFuncResultPreComp,259,1,0,0,0,1,3,0,0,0,0,1,0,0,3,0,1,8
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncFunctionFunction,278,7,0,0,0,2,16,0,0,0,0,1,0,1,2,4,7,26
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncFunctionComp,456,1,1,0,1,2,5,0,0,0,0,1,0,0,1,0,3,9
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncResultComp,542,2,0,0,0,3,10,0,0,0,0,1,0,0,0,0,2,14
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncResultElem,649,6,0,0,0,2,2,0,0,0,0,1,0,0,0,0,6,5
/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncRegister,767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMin,41,2,1,0,1,1,2,0,0,0,0,1,0,1,0,1,4,6
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMinFunction,68,1,0,0,0,2,5,0,0,0,0,1,0,1,1,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMax,110,2,1,0,1,1,2,0,0,0,0,1,0,1,0,1,4,6
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathMaxFunction,137,1,0,0,0,2,4,0,0,0,0,1,0,1,1,2,1,11
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathHighest,177,4,1,0,1,1,4,0,0,0,0,1,0,1,0,1,6,8
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathHighestFunction,218,1,0,0,0,2,2,0,0,0,0,1,0,1,1,2,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathLowest,257,4,1,0,1,1,4,0,0,0,0,1,0,1,0,1,6,8
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathLowestFunction,298,1,0,0,0,2,2,0,0,0,0,1,0,1,1,2,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathConstant,358,14,0,0,0,2,0,0,0,0,0,1,0,0,0,0,14,3
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathConstantFunction,440,1,0,0,0,2,5,0,0,0,0,1,0,2,2,2,1,14
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathRegister,1048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathXpathCtxtRegister,1116,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonInit,33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonShutdown,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonExpressionFunction,78,2,0,0,0,2,4,0,0,0,0,1,0,1,0,1,2,9
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonEvalFunction,133,1,0,0,0,2,3,0,0,0,0,1,0,1,0,2,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonEvaluateFunction,172,1,0,0,0,2,3,0,0,0,0,1,0,1,0,1,1,8
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonSystemIdFunction,192,4,0,0,0,2,3,0,0,0,0,1,0,1,2,1,4,10
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonLineNumberFunction,228,4,0,0,0,2,2,0,0,0,0,1,0,1,0,1,4,7
/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonRegister,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsDifferenceFunction,28,1,0,0,0,2,3,0,0,0,0,1,0,2,0,2,1,10
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsIntersectionFunction,65,1,0,0,0,2,3,0,0,0,0,1,0,2,0,2,1,10
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsDistinctFunction,101,1,0,0,0,2,2,0,0,0,0,1,0,1,1,2,1,9
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsHasSameNodesFunction,142,1,0,0,0,2,5,0,0,0,0,1,0,2,0,2,1,12
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsLeadingFunction,180,1,0,0,0,2,3,0,0,0,0,1,0,2,0,2,1,10
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsTrailingFunction,227,1,0,0,0,2,3,0,0,0,0,1,0,2,0,2,1,10
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsRegister,273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsXpathCtxtRegister,300,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrTokenizeFunction,33,5,0,0,0,2,2,0,0,0,0,1,0,2,1,1,5,9
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrSplitFunction,142,5,0,0,0,2,2,0,0,0,0,1,0,2,1,1,5,9
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrEncodeUriFunction,252,3,0,0,0,2,3,0,0,0,0,1,0,2,0,2,3,10
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrDecodeUriFunction,299,3,0,0,0,2,2,0,0,0,0,1,0,2,0,2,3,9
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrPaddingFunction,353,2,1,0,1,2,3,0,0,0,0,1,0,2,0,3,4,11
/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrAlignFunction,403,4,0,0,0,2,1,0,0,0,0,1,0,2,0,3,4,9
