bin_id,bin_range,rank_in_bin,file,func,line,complexity_score,vulnerability_score
0,1-1,125,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltPythonExtModuleCtxtInit,1033,1,5
0,1-1,126,/home/arpan/Documents/CBMC/libxslt/xsltproc/xsltproc.c,usage,499,1,5
0,1-1,127,/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrReturnString,516,1,4
0,1-1,128,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtData,217,1,4
0,1-1,129,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtElement,259,1,4
0,1-1,130,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltShutdownCtxtExts,1080,1,4
0,1-1,131,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltShutdownExts,1133,1,4
0,1-1,132,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterAllExtModules,1342,1,4
0,1-1,133,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltExtStyleShutdownTest,2206,1,4
0,1-1,134,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltSwapTopCompMatch,369,1,4
0,1-1,135,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltSetCtxtSecurityPrefs,210,1,4
0,1-1,136,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltEvalTemplateString,195,1,4
0,1-1,137,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltEvalAttrValueTemplate,389,1,4
0,1-1,138,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltTransformCacheCreate,402,1,4
0,1-1,139,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltAddChild,686,1,4
0,1-1,140,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltProfileStylesheet,6368,1,4
0,1-1,141,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltRegisterPersistRVT,390,1,4
0,1-1,142,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltEvalOneUserParam,1691,1,4
0,1-1,143,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltQuoteOneUserParam,1712,1,4
0,1-1,144,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltParseContentError,125,1,4
0,1-1,145,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltInit,229,1,4
0,1-1,146,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltNewTemplate,389,1,4
0,1-1,147,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltParseStylesheetDoc,6675,1,4
0,1-1,148,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetGenericErrorFunc,552,1,4
0,1-1,149,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetGenericDebugFunc,598,1,4
0,1-1,150,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltXPathCompileFlags,2287,1,4
0,1-1,151,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetDebuggerCallbacks,2421,1,4
0,1-1,152,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltNewTransformContext,621,1,4
0,1-1,153,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltPythonCleanup,1147,1,4
0,1-1,154,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_charPtrWrap,53,1,4
0,1-1,155,/home/arpan/Documents/CBMC/libxslt/doc/tutorial2/libxslt_pipes.c,usage,32,1,3
0,1-1,156,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateXpathCtxtRegister,3802,1,3
0,1-1,157,/home/arpan/Documents/CBMC/libxslt/libexslt/math.c,exsltMathXpathCtxtRegister,1116,1,3
0,1-1,158,/home/arpan/Documents/CBMC/libxslt/libexslt/sets.c,exsltSetsXpathCtxtRegister,300,1,3
0,1-1,159,/home/arpan/Documents/CBMC/libxslt/libexslt/strings.c,exsltStrXpathCtxtRegister,815,1,3
0,1-1,160,/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltFreeAttrElem,130,1,3
0,1-1,161,/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltSetLoaderFunc,121,1,3
0,1-1,162,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltRegisterExtModule,1300,1,3
0,1-1,163,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltDebugDumpExtensionsCallback,2297,1,3
0,1-1,164,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltDebugDumpExtModulesCallback,2308,1,3
0,1-1,165,/home/arpan/Documents/CBMC/libxslt/libxslt/functions.c,xsltXPathFunctionLookup,68,1,3
0,1-1,166,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltSort,3789,1,3
0,1-1,167,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltApplyStylesheet,6349,1,3
0,1-1,168,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltParseStylesheetCallerParam,1927,1,3
0,1-1,169,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltGenericErrorDefaultFunc,523,1,3
0,1-1,170,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltGenericDebugDefaultFunc,569,1,3
0,1-1,171,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetTransformErrorFunc,690,1,3
0,1-1,172,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetSortFunc,1377,1,3
0,1-1,173,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltXPathCompile,2352,1,3
0,1-1,174,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xslDropCall,2477,1,3
0,1-1,175,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltFreeTransformContext,642,1,3
0,1-1,176,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltRegisterErrorHandler,928,1,3
0,1-1,177,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlCharPtrWrap,88,1,3
0,1-1,178,/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncStyleInit,206,1,2
0,1-1,179,/home/arpan/Documents/CBMC/libxslt/libexslt/saxon.c,exsltSaxonInit,33,1,2
0,1-1,180,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterAllExtModuleFunction,1478,1,2
0,1-1,181,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterAllExtModuleElement,1802,1,2
0,1-1,182,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterAllExtModuleTopLevel,1913,1,2
0,1-1,183,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltExtStyleInitTest,2182,1,2
0,1-1,184,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltInitGlobals,2261,1,2
0,1-1,185,/home/arpan/Documents/CBMC/libxslt/libxslt/extra.c,xsltRegisterExtras,287,1,2
0,1-1,186,/home/arpan/Documents/CBMC/libxslt/libxslt/imports.c,xsltFixImportedCompSteps,65,1,2
0,1-1,187,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltEvalXPathString,177,1,2
0,1-1,188,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltAttrTemplateValueProcess,369,1,2
0,1-1,189,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltlocale.c,xsltStrxfrm,371,1,2
0,1-1,190,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetCtxtSortFunc,1395,1,2
0,1-1,191,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltStylesheetPtrWrap,48,1,2
0,1-1,192,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltTransformContextPtrWrap,65,1,2
0,1-1,193,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltElemPreCompPtrWrap,81,1,2
0,1-1,194,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,deallocateCallback,182,1,2
0,1-1,195,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,deallocateClasse,193,1,2
0,1-1,196,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltSetLoaderFunc,590,1,2
0,1-1,197,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_charPtrConstWrap,71,1,2
0,1-1,198,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlCharPtrConstWrap,106,1,2
0,1-1,199,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_constcharPtrWrap,123,1,2
0,1-1,200,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_constxmlCharPtrWrap,140,1,2
0,1-1,201,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlDocPtrWrap,157,1,2
0,1-1,202,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlNodePtrWrap,176,1,2
0,1-1,203,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlURIPtrWrap,194,1,2
0,1-1,204,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlNsPtrWrap,212,1,2
0,1-1,205,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlAttrPtrWrap,230,1,2
0,1-1,206,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlAttributePtrWrap,248,1,2
0,1-1,207,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlElementPtrWrap,266,1,2
0,1-1,208,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlXPathContextPtrWrap,284,1,2
0,1-1,209,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlXPathParserContextPtrWrap,302,1,2
0,1-1,210,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlParserCtxtPtrWrap,320,1,2
0,1-1,211,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlXPathDestructNsNode,348,1,2
0,1-1,212,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlXPathObjectPtrConvert,443,1,2
0,1-1,213,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlCatalogPtrWrap,533,1,2
0,1-1,214,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlOutputBufferPtrWrap,551,1,2
0,1-1,215,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlParserInputBufferPtrWrap,569,1,2
0,1-1,216,/home/arpan/Documents/CBMC/libxslt/python/types.c,libxml_xmlRegexpPtrWrap,587,1,2
